variant,block,order,mode,threads,multipv,position,elapsed_ns,stop_lag_ns,nodes,depth,score,bestmove,callbacks,max_pv,last_pv,engine_time_ms
baseline,1,0,time,1,8,movegen-heavy,1000494706,,925889,11,cp -2005,N*2c,89,20,9,1000
baseline,1,0,time,1,8,selfplay-88,1000464058,,775491,13,cp 3816,2h2g,105,16,16,1000
fixed,1,1,time,1,1,complex-middle,1000224387,,868286,13,cp -498,B*6h,14,17,14,1000
fixed,1,1,time,1,1,movegen-heavy,1000758133,,826281,16,cp -2522,G*1c,17,17,14,1000
fixed,1,1,time,1,1,selfplay-88,1000427701,,757031,17,cp 5317,2h2g,18,15,15,1000
fixed,1,1,time,1,8,complex-middle,1000226122,,905586,11,cp -73,B*6h,89,23,12,1000
fixed,1,1,time,1,8,movegen-heavy,1000355195,,929301,11,cp -2005,N*2c,89,20,9,1000
fixed,1,1,time,1,8,selfplay-88,1000401984,,781338,13,cp 3816,2h2g,105,16,16,1000
fixed,1,2,time,1,1,complex-middle,1000164216,,865281,13,cp -498,B*6h,14,17,14,1000
fixed,1,2,time,1,1,movegen-heavy,1000200364,,828972,16,cp -2522,G*1c,17,17,14,1000
fixed,1,2,time,1,1,selfplay-88,1000337343,,758985,17,cp 5317,2h2g,18,15,15,1000
fixed,1,2,time,1,8,complex-middle,1000174537,,916960,11,cp -73,B*6h,89,23,12,1000
fixed,1,2,time,1,8,movegen-heavy,1000321614,,931465,11,cp -2005,N*2c,89,20,9,1000
fixed,1,2,time,1,8,selfplay-88,1000377970,,774855,13,cp 3727,2h2g,105,19,9,1000
baseline,1,3,time,1,1,complex-middle,1000237977,,872160,13,cp -498,B*6h,14,18,14,1000
baseline,1,3,time,1,1,movegen-heavy,1000133250,,819704,16,cp -2522,G*1c,17,17,14,1000
baseline,1,3,time,1,1,selfplay-88,1000265920,,746943,17,cp 5317,2h2g,18,15,15,1000
baseline,1,3,time,1,8,complex-middle,1000229772,,885526,11,cp -73,B*6h,89,25,12,1000
baseline,1,3,time,1,8,movegen-heavy,1000392179,,916173,11,cp -2005,N*2c,89,20,9,1000
baseline,1,3,time,1,8,selfplay-88,1000386878,,765337,13,cp 3816,2h2g,105,16,16,1000
baseline,2,0,time,1,1,complex-middle,1000247146,,861367,13,cp -498,B*6h,14,18,14,1000
baseline,2,0,time,1,1,movegen-heavy,1000134624,,800192,16,cp -2522,G*1c,17,17,14,1000
baseline,2,0,time,1,1,selfplay-88,1000217791,,750421,17,cp 5645,2h2g,18,15,15,1000
baseline,2,0,time,1,8,complex-middle,1000155734,,909457,11,cp -73,B*6h,89,25,12,1000
baseline,2,0,time,1,8,movegen-heavy,1000300066,,924901,11,cp -2005,N*2c,89,20,9,1000
baseline,2,0,time,1,8,selfplay-88,1000389595,,767974,13,cp 3816,2h2g,105,16,16,1000
fixed,2,1,time,1,1,complex-middle,1000148382,,859636,13,cp -498,B*6h,14,17,14,1000
fixed,2,1,time,1,1,movegen-heavy,1000284097,,821422,16,cp -2522,G*1c,17,17,14,1000
fixed,2,1,time,1,1,selfplay-88,1000208425,,753146,17,cp 5317,2h2g,18,15,15,1000
fixed,2,1,time,1,8,complex-middle,1000211541,,902335,11,cp -73,B*6h,89,23,12,1000
fixed,2,1,time,1,8,movegen-heavy,1000340945,,921054,11,cp -2005,N*2c,89,20,9,1000
fixed,2,1,time,1,8,selfplay-88,1000437316,,764149,13,cp 3727,2h2g,105,19,9,1000
fixed,2,2,time,1,1,complex-middle,1000347007,,877663,13,cp -498,B*6h,14,17,14,1000
fixed,2,2,time,1,1,movegen-heavy,1000272417,,828549,16,cp -2522,G*1c,17,17,14,1000
fixed,2,2,time,1,1,selfplay-88,1000270173,,757561,17,cp 5317,2h2g,18,15,15,1000
fixed,2,2,time,1,8,complex-middle,1000256979,,911334,11,cp -73,B*6h,89,23,12,1000
fixed,2,2,time,1,8,movegen-heavy,1000333052,,925678,11,cp -2005,N*2c,89,20,9,1000
