variant,block,order,mode,threads,multipv,position,elapsed_ns,stop_lag_ns,nodes,depth,score,bestmove,callbacks,max_pv,last_pv,engine_time_ms
baseline,3,3,stop,1,1,movegen-heavy,252835419,2559890,157073,11,cp -1582,G*3c,12,10,7,252
baseline,3,3,stop,1,1,selfplay-88,252956848,2672943,137560,14,cp 3573,2h2g,15,14,14,252
baseline,3,3,stop,1,8,complex-middle,252915449,2625643,187606,8,cp -127,B*6h,65,11,8,252
baseline,3,3,stop,1,8,movegen-heavy,252332172,2048066,191030,9,cp -1618,N*2c,73,11,11,252
baseline,3,3,stop,1,8,selfplay-88,253222257,2934465,157894,10,cp 2995,2h2g,81,12,11,253
baseline,4,0,stop,1,1,complex-middle,252295774,2007791,162062,9,cp -426,B*6h,10,18,18,252
baseline,4,0,stop,1,1,movegen-heavy,253093204,2804700,159631,11,cp -1582,G*3c,12,10,7,253
baseline,4,0,stop,1,1,selfplay-88,253081803,2796686,141512,14,cp 3573,2h2g,15,14,14,252
baseline,4,0,stop,1,8,complex-middle,252318876,1930945,189464,8,cp -127,B*6h,65,11,8,252
baseline,4,0,stop,1,8,movegen-heavy,252617519,2341829,188314,8,cp -1183,S*2h,65,8,8,252
baseline,4,0,stop,1,8,selfplay-88,252741092,2453189,155776,10,cp 2995,2h2g,81,12,11,252
fixed,4,1,stop,1,1,complex-middle,252537469,2249215,164815,9,cp -426,B*6h,10,17,17,252
fixed,4,1,stop,1,1,movegen-heavy,252194292,1907812,157889,11,cp -1582,G*3c,12,10,7,252
fixed,4,1,stop,1,1,selfplay-88,252696719,2414276,142917,14,cp 3573,2h2g,15,11,7,252
fixed,4,1,stop,1,8,complex-middle,252347250,2058956,189464,8,cp -127,B*6h,65,11,8,252
fixed,4,1,stop,1,8,movegen-heavy,252315360,2030402,190156,8,cp -1183,S*2h,65,8,8,252
fixed,4,1,stop,1,8,selfplay-88,252537278,1903333,156942,10,cp 2995,2h2g,81,12,11,252
fixed,4,2,stop,1,1,complex-middle,252747003,2065178,164191,9,cp -426,B*6h,10,17,17,252
fixed,4,2,stop,1,1,movegen-heavy,253068919,2509224,156223,11,cp -1582,G*3c,12,10,7,252
fixed,4,2,stop,1,1,selfplay-88,252866558,2584455,142227,14,cp 3573,2h2g,15,11,7,252
fixed,4,2,stop,1,8,complex-middle,253018323,2731432,189657,8,cp -127,B*6h,65,11,8,252
fixed,4,2,stop,1,8,movegen-heavy,252350306,2068004,191030,9,cp -1618,N*2c,73,9,9,252
fixed,4,2,stop,1,8,selfplay-88,253083236,2796636,157317,10,cp 2995,2h2g,81,12,11,252
baseline,4,3,stop,1,1,complex-middle,252610015,2333163,161731,9,cp -426,B*6h,10,18,18,252
baseline,4,3,stop,1,1,movegen-heavy,252749829,2463258,159370,11,cp -1582,G*3c,12,10,7,252
baseline,4,3,stop,1,1,selfplay-88,252639170,2357078,140552,14,cp 3573,2h2g,15,14,14,252
baseline,4,3,stop,1,8,complex-middle,252082842,1797544,188565,8,cp -127,B*6h,65,11,8,252
baseline,4,3,stop,1,8,movegen-heavy,253091612,2803067,189566,8,cp -1183,S*2h,65,8,8,253
baseline,4,3,stop,1,8,selfplay-88,252658537,2374381,156347,10,cp 2995,2h2g,81,12,11,252
baseline,5,0,stop,1,1,complex-middle,252599876,2310660,164535,9,cp -426,B*6h,10,18,18,252
baseline,5,0,stop,1,1,movegen-heavy,252690998,2408004,158043,11,cp -1582,G*3c,12,10,7,252
baseline,5,0,stop,1,1,selfplay-88,253200678,2915369,141512,14,cp 3573,2h2g,15,14,14,253
baseline,5,0,stop,1,8,complex-middle,252241001,1957856,188130,8,cp -127,B*6h,65,11,8,252
baseline,5,0,stop,1,8,movegen-heavy,252434515,2148455,191342,9,cp -1618,N*2c,73,11,11,252
baseline,5,0,stop,1,8,selfplay-88,253175410,2892416,157894,10,cp 2995,2h2g,81,12,11,253
fixed,5,1,stop,1,1,complex-middle,252609324,2333814,161605,9,cp -426,B*6h,10,17,17,252
fixed,5,1,stop,1,1,movegen-heavy,252088354,1804067,156223,11,cp -1582,G*3c,12,10,7,252
fixed,5,1,stop,1,1,selfplay-88,252775718,2491762,141512,14,cp 3573,2h2g,15,11,7,252
fixed,5,1,stop,1,8,complex-middle,252372258,2086098,188467,8,cp -127,B*6h,65,11,8,252
fixed,5,1,stop,1,8,movegen-heavy,252783462,2500377,191634,9,cp -1618,N*2c,73,9,9,252
fixed,5,1,stop,1,8,selfplay-88,252774876,2320429,156751,10,cp 2995,2h2g,81,12,11,252
fixed,5,2,stop,1,1,complex-middle,253376649,3091160,164191,9,cp -426,B*6h,10,17,17,253
fixed,5,2,stop,1,1,movegen-heavy,252811845,2523601,161091,11,cp -1582,G*3c,12,10,7,252
fixed,5,2,stop,1,1,selfplay-88,253067437,2417762,142227,14,cp 3573,2h2g,15,11,7,252
fixed,5,2,stop,1,8,complex-middle,252316673,2029922,186120,8,cp -127,B*6h,65,11,8,252
fixed,5,2,stop,1,8,movegen-heavy,251195883,664310,190329,8,cp -1183,S*2h,65,8,8,251
fixed,5,2,stop,1,8,selfplay-88,253085280,2635362,156474,10,cp 2466,2h2g,81,15,3,252
baseline,5,3,stop,1,1,complex-middle,252943543,2658415,164815,9,cp -426,B*6h,10,18,18,252
baseline,5,3,stop,1,1,movegen-heavy,252479139,2194682,159078,11,cp -1582,G*3c,12,10,7,252
baseline,5,3,stop,1,1,selfplay-88,252645653,2363971,140312,14,cp 3573,2h2g,15,14,14,252
baseline,5,3,stop,1,8,complex-middle,252809391,2522078,190225,8,cp -127,B*6h,65,11,8,252
baseline,5,3,stop,1,8,movegen-heavy,252107670,1820358,188952,8,cp -1183,S*2h,65,8,8,252
baseline,5,3,stop,1,8,selfplay-88,252631175,2387816,157684,10,cp 2995,2h2g,81,12,11,252
baseline,0,0,time,4,1,complex-middle,1000321262,,3039016,11,cp -603,8d7d,12,19,19,1000
baseline,0,0,time,4,1,movegen-heavy,1000473067,,3097906,15,cp -2653,S*2h,16,19,19,1000
baseline,0,0,time,4,1,selfplay-88,1000450306,,2945647,33,cp 35281,2h2g,34,21,7,1000
baseline,0,0,time,4,8,complex-middle,1000337102,,3163884,9,cp -223,B*6h,73,15,8,1000
baseline,0,0,time,4,8,movegen-heavy,1000571854,,3233829,12,cp -2322,N*2c,97,24,14,1000
baseline,0,0,time,4,8,selfplay-88,1000660181,,2670583,13,cp 4018,2h2g,105,18,12,1000
fixed,0,1,time,4,1,complex-middle,1000297949,,3067936,14,cp -907,8d7d,15,29,14,1000
fixed,0,1,time,4,1,movegen-heavy,1000381496,,3097262,15,cp -2090,N*2c,16,17,11,1000
fixed,0,1,time,4,1,selfplay-88,1000566806,,3059348,38,cp 35281,2h2g,39,15,7,1000
fixed,0,1,time,4,8,complex-middle,1000502535,,3244006,9,cp -122,B*6h,73,19,8,1000
fixed,0,1,time,4,8,movegen-heavy,1000349007,,3299517,11,cp -2368,N*2c,89,22,12,1000
fixed,0,1,time,4,8,selfplay-88,1000611792,,2732118,13,cp 4630,2h2g,105,20,13,1000
fixed,0,2,time,4,1,complex-middle,1000481076,,2945020,13,cp -745,8d7d,14,15,14,1000
fixed,0,2,time,4,1,movegen-heavy,1000475936,,3052260,15,cp -2411,N*2c,16,19,14,1000
fixed,0,2,time,4,1,selfplay-88,1000479333,,2937383,24,cp 35281,2h2g,21,19,9,1000
fixed,0,2,time,4,8,complex-middle,1000656016,,3138819,11,cp -774,8d7d,89,21,10,1000
fixed,0,2,time,4,8,movegen-heavy,1000582777,,3298945,11,cp -2392,N*3a,89,16,12,1000
fixed,0,2,time,4,8,selfplay-88,1000644805,,2750047,13,cp 4203,2h2g,105,16,11,1000
baseline,0,3,time,4,1,complex-middle,1000316907,,2963181,14,cp -936,8d7d,15,24,14,1000
baseline,0,3,time,4,1,movegen-heavy,1000394414,,3182158,14,cp -2118,G*3c,16,17,17,1000
baseline,0,3,time,4,1,selfplay-88,1000599129,,3020332,31,cp 35281,2h2g,31,18,7,1000
baseline,0,3,time,4,8,complex-middle,1000497458,,3198868,10,cp -272,B*6h,81,21,8,1000
baseline,0,3,time,4,8,movegen-heavy,1000343288,,3247394,12,cp -2085,N*2c,97,19,12,1000
baseline,0,3,time,4,8,selfplay-88,1000578040,,2747590,13,cp 3806,3h3g,105,18,12,1000
baseline,1,0,time,4,1,complex-middle,1000474495,,3175081,13,cp -752,8d7d,14,18,18,1000
baseline,1,0,time,4,1,movegen-heavy,1000611224,,3099027,15,cp -2665,G*3c,16,18,18,1000
baseline,1,0,time,4,1,selfplay-88,1000369217,,2668910,16,cp 5441,2h2g,17,14,14,1000
baseline,1,0,time,4,8,complex-middle,1000423601,,3322559,9,cp -474,B*6h,73,22,22,1000
baseline,1,0,time,4,8,movegen-heavy,1000555449,,3251626,11,cp -2320,N*2c,89,20,14,1000
baseline,1,0,time,4,8,selfplay-88,1000519902,,2744396,13,cp 3784,2h2g,105,20,13,1000
fixed,1,1,time,4,1,complex-middle,1000594553,,3017656,14,cp -624,8d7d,12,14,14,1000
fixed,1,1,time,4,1,movegen-heavy,1000773570,,3019967,13,cp -2240,N*2c,16,18,13,1000
fixed,1,1,time,4,1,selfplay-88,1000811622,,3132495,23,cp 35281,2h2g,23,20,7,1000
fixed,1,1,time,4,8,complex-middle,1000518710,,3590536,9,cp -444,B*6h,73,15,15,1000
fixed,1,1,time,4,8,movegen-heavy,1000483144,,3214352,11,cp -2343,N*2c,89,20,7,1000
fixed,1,1,time,4,8,selfplay-88,1000665708,,2810956,13,cp 4274,2h2g,105,17,9,1000
fixed,1,2,time,4,1,complex-middle,1000336378,,3052800,12,cp -721,8d7d,14,18,16,1000
fixed,1,2,time,4,1,movegen-heavy,1000511808,,3029391,15,cp -2534,G*1c,16,17,17,1000
fixed,1,2,time,4,1,selfplay-88,1000614081,,3019576,39,cp 35281,2h2g,40,15,7,1000
fixed,1,2,time,4,8,complex-middle,1000557707,,3293324,9,cp -218,8d7d,73,15,7,1000
fixed,1,2,time,4,8,movegen-heavy,1000657003,,3246712,11,cp -2346,N*2c,89,20,12,1000
fixed,1,2,time,4,8,selfplay-88,1000630042,,2705696,11,cp 3490,2h2g,89,22,11,1000
baseline,1,3,time,4,1,complex-middle,1000699552,,2894783,14,cp -751,8d7d,15,19,19,1000
baseline,1,3,time,4,1,movegen-heavy,1000533270,,2990660,14,cp -2522,G*3c,15,19,19,1000
baseline,1,3,time,4,1,selfplay-88,1000731934,,3093963,37,cp 35281,2h2g,38,15,7,1000
baseline,1,3,time,4,8,complex-middle,1000493436,,3033064,10,cp -145,B*6h,81,18,8,1000
baseline,1,3,time,4,8,movegen-heavy,1000788491,,3316759,11,cp -2401,G*3c,89,16,11,1000
baseline,1,3,time,4,8,selfplay-88,1000450906,,2684658,12,cp 3754,2h2g,97,19,14,1000
baseline,2,0,time,4,1,complex-middle,1000740691,,2875137,12,cp -670,8d7d,15,30,12,1000
baseline,2,0,time,4,1,movegen-heavy,1000548570,,2975153,14,cp -2460,N*2c,16,15,9,1000
baseline,2,0,time,4,1,selfplay-88,1000526959,,2793637,27,cp 35281,2h2g,19,24,7,1000
baseline,2,0,time,4,8,complex-middle,1000337232,,3215339,10,cp -741,8d7d,81,19,8,1000
baseline,2,0,time,4,8,movegen-heavy,1000834018,,3218900,11,cp -2327,N*2c,89,18,14,1000
baseline,2,0,time,4,8,selfplay-88,1000627670,,2667992,13,cp 3707,2h2g,105,17,12,1000
fixed,2,1,time,4,1,complex-middle,1000346600,,3027374,14,cp -810,8d7d,13,22,12,1000
fixed,2,1,time,4,1,movegen-heavy,1000494870,,3123529,14,cp -2233,N*2c,15,16,9,1000
fixed,2,1,time,4,1,selfplay-88,1000475404,,3198468,35,cp 35281,2h2g,35,17,7,1000
fixed,2,1,time,4,8,complex-middle,1000389041,,3399142,9,cp -134,B*6h,73,18,18,1000
fixed,2,1,time,4,8,movegen-heavy,1000562718,,3165403,11,cp -2154,N*2c,89,17,8,1000
fixed,2,1,time,4,8,selfplay-88,1000612412,,2735903,12,cp 3866,2h2g,97,16,13,1000
fixed,2,2,time,4,1,complex-middle,1000522623,,3069850,12,cp -804,8d7d,13,19,12,1000
fixed,2,2,time,4,1,movegen-heavy,1000368203,,3016658,15,cp -2801,N*1g,16,20,18,1000
fixed,2,2,time,4,1,selfplay-88,1000884906,,2854925,24,cp 35281,2h2g,25,17,11,1000
fixed,2,2,time,4,8,complex-middle,1000559283,,3045498,10,cp -525,B*6h,81,18,17,1000
fixed,2,2,time,4,8,movegen-heavy,1000473972,,3320973,10,cp -2420,G*2h,81,17,13,1000
fixed,2,2,time,4,8,selfplay-88,1000761684,,2728122,13,cp 3435,8d8e,105,19,13,1000
baseline,2,3,time,4,1,complex-middle,1000443515,,2857857,14,cp -778,8d7d,15,21,16,1000
baseline,2,3,time,4,1,movegen-heavy,1000375117,,3079059,14,cp -2238,N*2c,15,18,11,1000
baseline,2,3,time,4,1,selfplay-88,1000343668,,2845206,24,cp 35281,2h2g,23,15,9,1000
baseline,2,3,time,4,8,complex-middle,1000368404,,3309191,9,cp -512,B*6h,73,16,9,1000
baseline,2,3,time,4,8,movegen-heavy,1000531322,,3198179,10,cp -2352,N*2c,81,21,13,1000
baseline,2,3,time,4,8,selfplay-88,1000602846,,2689123,12,cp 3563,2h2g,97,22,11,1000
baseline,3,0,time,4,1,complex-middle,1000481097,,2925050,14,cp -883,3b3c,15,15,14,1000
baseline,3,0,time,4,1,movegen-heavy,1000599470,,2977051,15,cp -2497,G*3c,15,20,20,1000
baseline,3,0,time,4,1,selfplay-88,1000401327,,2996341,25,cp 35281,2h2g,25,24,9,1000
baseline,3,0,time,4,8,complex-middle,1000404895,,3314926,9,cp -491,8d7d,73,19,16,1000
baseline,3,0,time,4,8,movegen-heavy,1000444379,,3285049,11,cp -2422,N*2c,89,23,10,1000
baseline,3,0,time,4,8,selfplay-88,1000725388,,2699352,13,cp 3641,2h2g,105,17,13,1000
fixed,3,1,time,4,1,complex-middle,1000745236,,3144349,13,cp -727,8d7d,14,20,20,1000
fixed,3,1,time,4,1,movegen-heavy,1000434902,,3085164,14,cp -2534,S*2h,16,18,12,1000
fixed,3,1,time,4,1,selfplay-88,1000723034,,3046745,19,cp 6661,2h2g,20,24,20,1000
fixed,3,1,time,4,8,complex-middle,1000335545,,3376098,10,cp -157,B*6h,81,18,11,1000
fixed,3,1,time,4,8,movegen-heavy,1000578052,,3418173,11,cp -2323,N*2c,89,20,14,1000
fixed,3,1,time,4,8,selfplay-88,1000696886,,2945338,13,cp 3810,2h2g,105,20,12,1000
fixed,3,2,time,4,1,complex-middle,1000210270,,3288645,11,cp -733,3b3c,12,26,16,1000
fixed,3,2,time,4,1,movegen-heavy,1000420615,,3251007,15,cp -2778,G*1c,16,21,21,1000
fixed,3,2,time,4,1,selfplay-88,1000398574,,2811410,21,cp 35281,2h2g,17,14,7,1000
fixed,3,2,time,4,8,complex-middle,1000430885,,3613116,9,cp -392,B*6h,73,16,12,1000
fixed,3,2,time,4,8,movegen-heavy,1000498844,,3394765,11,cp -2355,N*2c,89,15,14,1000
fixed,3,2,time,4,8,selfplay-88,1000802776,,2911938,12,cp 3360,2h2g,97,20,5,1000
baseline,3,3,time,4,1,complex-middle,1000331689,,3285555,15,cp -684,8d7d,15,25,17,1000
baseline,3,3,time,4,1,movegen-heavy,1000634639,,3211051,14,cp -2274,G*1c,16,21,13,1000
baseline,3,3,time,4,1,selfplay-88,1000517860,,3108253,20,cp 35281,2h2g,21,20,11,1000
baseline,3,3,time,4,8,complex-middle,1000449521,,3664979,9,cp -410,8d7d,73,18,16,1000
baseline,3,3,time,4,8,movegen-heavy,1000326730,,3456930,11,cp -2310,N*2c,89,18,9,1000
baseline,3,3,time,4,8,selfplay-88,1000333333,,2918890,13,cp 3606,2h2g,105,16,14,1000
baseline,4,0,time,4,1,complex-middle,1000358731,,3112023,14,cp -925,8d7d,17,17,14,1000
baseline,4,0,time,4,1,movegen-heavy,1000368360,,3271198,14,cp -2760,G*2h,15,21,21,1000
baseline,4,0,time,4,1,selfplay-88,1000470752,,3103172,24,cp 35281,2h2g,25,15,11,1000
baseline,4,0,time,4,8,complex-middle,1000354985,,3543854,10,cp -194,B*6h,81,22,12,1000
baseline,4,0,time,4,8,movegen-heavy,1000556374,,3536806,11,cp -1856,N*2c,89,21,7,1000
baseline,4,0,time,4,8,selfplay-88,1000853905,,2964066,12,cp 4073,2h2g,97,19,9,1000
fixed,4,1,time,4,1,complex-middle,1000594175,,3068390,14,cp -876,8d7d,15,28,14,1000
fixed,4,1,time,4,1,movegen-heavy,1000627768,,3272805,15,cp -2727,G*3c,16,23,23,1000
fixed,4,1,time,4,1,selfplay-88,1000474741,,3114893,24,cp 35281,2h2g,24,16,9,1000
fixed,4,1,time,4,8,complex-middle,1000384091,,3377624,9,cp -433,8d7d,73,23,8,1000
fixed,4,1,time,4,8,movegen-heavy,1000589037,,3485626,11,cp -2184,N*2c,89,18,11,1000
fixed,4,1,time,4,8,selfplay-88,1000662595,,2936417,13,cp 4134,2h2g,105,21,16,1000
fixed,4,2,time,4,1,complex-middle,1000551476,,3311998,13,cp -792,8d7d,15,20,20,1000
fixed,4,2,time,4,1,movegen-heavy,1000338696,,3319377,14,cp -2758,S*2h,15,19,19,1000
fixed,4,2,time,4,1,selfplay-88,1000390904,,3242442,26,cp 35281,2h2g,25,21,9,1000
fixed,4,2,time,4,8,complex-middle,1000430158,,3345337,10,cp -766,3b3a,81,14,10,1000
fixed,4,2,time,4,8,movegen-heavy,1000404590,,3518532,11,cp -2163,N*2c,89,18,9,1000
fixed,4,2,time,4,8,selfplay-88,1000617472,,2924572,13,cp 3677,2h2g,105,20,18,1000
baseline,4,3,time,4,1,complex-middle,1000673447,,3235857,11,cp -707,8d7d,14,27,13,1000
baseline,4,3,time,4,1,movegen-heavy,1000436771,,3284026,14,cp -2737,S*2h,16,22,22,1000
baseline,4,3,time,4,1,selfplay-88,1000444436,,3221828,23,cp 35281,2h2g,23,22,17,1000
baseline,4,3,time,4,8,complex-middle,1000354908,,3500182,10,cp -521,B*6h,81,21,10,1000
baseline,4,3,time,4,8,movegen-heavy,1000331464,,3460651,10,cp -2146,G*3c,81,16,11,1000
baseline,4,3,time,4,8,selfplay-88,1000922036,,2897875,12,cp 4013,2h2g,97,22,8,1000
baseline,5,0,time,4,1,complex-middle,1000242577,,3171160,15,cp -831,8d7d,14,20,19,1000
baseline,5,0,time,4,1,movegen-heavy,1000425531,,3419123,16,cp -2410,N*2c,17,24,11,1000
baseline,5,0,time,4,1,selfplay-88,1000327066,,3162081,33,cp 35281,2h2g,34,22,7,1000
baseline,5,0,time,4,8,complex-middle,1000445970,,3570419,9,cp -140,B*6h,73,17,8,1000
baseline,5,0,time,4,8,movegen-heavy,1000423818,,3518923,10,cp -2200,N*3a,81,20,13,1000
baseline,5,0,time,4,8,selfplay-88,1000614808,,2880732,11,cp 3625,8d8e,89,18,10,1000
fixed,5,1,time,4,1,complex-middle,1000457672,,3246264,13,cp -872,8d7d,14,18,14,1000
fixed,5,1,time,4,1,movegen-heavy,1000355310,,3345375,15,cp -2301,N*2c,16,16,13,1000
fixed,5,1,time,4,1,selfplay-88,1000431904,,2800731,15,cp 4203,2h2g,14,16,16,1000
fixed,5,1,time,4,8,complex-middle,1000511024,,3359641,11,cp -150,B*6h,89,21,15,1000
fixed,5,1,time,4,8,movegen-heavy,1000608547,,3504476,10,cp -2468,G*3c,81,12,10,1000
fixed,5,1,time,4,8,selfplay-88,1000758209,,2937725,13,cp 4306,2h2g,105,18,11,1000
fixed,5,2,time,4,1,complex-middle,1000425072,,3213470,14,cp -836,8d7d,14,22,13,1000
fixed,5,2,time,4,1,movegen-heavy,1000454487,,3268519,16,cp -2814,N*3a,17,20,20,1000
fixed,5,2,time,4,1,selfplay-88,1000446382,,3011631,18,cp 7266,2h2g,19,24,24,1000
fixed,5,2,time,4,8,complex-middle,1000284548,,3392292,10,cp -160,B*6h,81,21,10,1000
fixed,5,2,time,4,8,movegen-heavy,1000654355,,3533877,10,cp -2324,N*2c,81,14,11,1000
fixed,5,2,time,4,8,selfplay-88,1000812622,,2976157,12,cp 3532,2h2g,97,19,15,1000
baseline,5,3,time,4,1,complex-middle,1000322330,,3185856,13,cp -984,8d7d,14,18,13,1000
baseline,5,3,time,4,1,movegen-heavy,1000410816,,3314435,16,cp -2702,S*2h,15,22,22,1000
baseline,5,3,time,4,1,selfplay-88,1000623217,,2992356,29,cp 35281,2h2g,24,21,7,1000
baseline,5,3,time,4,8,complex-middle,1000453577,,3498805,10,cp -877,3b3a,81,17,12,1000
baseline,5,3,time,4,8,movegen-heavy,1000475629,,3531903,10,cp -2192,N*2c,81,18,10,1000
baseline,5,3,time,4,8,selfplay-88,1000608820,,2919740,12,cp 3948,2h2g,97,21,11,1000
baseline,0,0,stop,4,1,complex-middle,252718708,2470913,818376,11,cp -697,8d7d,12,10,10,252
baseline,0,0,stop,4,1,movegen-heavy,252699671,2466634,854581,12,cp -2206,N*2c,12,13,13,252
baseline,0,0,stop,4,1,selfplay-88,253331972,3095057,709637,13,cp 4105,2h2g,15,14,14,253
baseline,0,0,stop,4,8,complex-middle,253000538,2715833,922156,8,cp -103,B*6h,65,10,7,252
baseline,0,0,stop,4,8,movegen-heavy,252734247,2498564,974493,9,cp -2230,G*3c,73,18,9,252
baseline,0,0,stop,4,8,selfplay-88,252446485,2166489,769100,11,cp 2921,3h3g,89,13,8,252
fixed,0,1,stop,4,1,complex-middle,252885722,2649739,834982,11,cp -692,8d7d,12,19,5,252
fixed,0,1,stop,4,1,movegen-heavy,253224921,2987896,848565,13,cp -2195,N*2c,14,12,12,253
fixed,0,1,stop,4,1,selfplay-88,252877506,2635873,725525,14,cp 4447,2h2g,14,11,11,252
fixed,0,1,stop,4,8,complex-middle,252406308,2169624,935141,8,cp -41,B*6h,65,9,5,252
fixed,0,1,stop,4,8,movegen-heavy,252494084,2235529,959425,9,cp -2270,N*2c,73,16,12,252
fixed,0,1,stop,4,8,selfplay-88,252465310,2224057,776638,10,cp 3140,3h3g,81,15,10,252
fixed,0,2,stop,4,1,complex-middle,253289131,3055142,866377,11,cp -386,B*6h,11,10,8,253
fixed,0,2,stop,4,1,movegen-heavy,253094215,2854835,851492,13,cp -2197,N*2c,14,18,15,253
fixed,0,2,stop,4,1,selfplay-88,253004616,2716956,740731,15,cp 4562,2h2g,16,20,20,252
fixed,0,2,stop,4,8,complex-middle,253152003,2871166,888622,9,cp -113,B*6h,73,13,8,253
fixed,0,2,stop,4,8,movegen-heavy,253300683,3032921,958208,9,cp -1597,G*3c,73,14,7,253
fixed,0,2,stop,4,8,selfplay-88,253364002,3126216,790723,11,cp 3243,2h2g,89,18,9,253
baseline,0,3,stop,4,1,complex-middle,252876264,2635332,842977,11,cp -667,3b4b,12,8,4,252
baseline,0,3,stop,4,1,movegen-heavy,252809108,2572864,868744,15,cp -2265,G*3c,16,13,13,252
baseline,0,3,stop,4,1,selfplay-88,253212547,2954343,732237,14,cp 4417,2h2g,16,11,11,253
baseline,0,3,stop,4,8,complex-middle,253155740,2915950,957202,8,cp -114,B*6h,65,8,7,253
baseline,0,3,stop,4,8,movegen-heavy,252564727,2326791,979497,9,cp -1750,G*3c,73,15,13,252
baseline,0,3,stop,4,8,selfplay-88,253209091,2974691,787439,10,cp 3361,2h2g,81,14,9,253
baseline,1,0,stop,4,1,complex-middle,252346437,2072432,897679,10,cp -131,B*6h,13,20,16,252
baseline,1,0,stop,4,1,movegen-heavy,252903024,2621516,838173,13,cp -2026,N*2c,14,13,12,252
baseline,1,0,stop,4,1,selfplay-88,253005727,2743846,727452,15,cp 4214,2h2g,16,15,15,252
baseline,1,0,stop,4,8,complex-middle,253249126,3011580,921230,8,cp -314,B*6h,65,10,8,253
baseline,1,0,stop,4,8,movegen-heavy,252417220,2174114,956266,9,cp -2376,N*2c,73,19,11,252
baseline,1,0,stop,4,8,selfplay-88,252532377,2255637,778817,10,cp 3336,2h2g,81,24,11,252
fixed,1,1,stop,4,1,complex-middle,252782197,2518952,860263,10,cp -521,8d7d,12,17,17,252
fixed,1,1,stop,4,1,movegen-heavy,252858732,2589796,843865,13,cp -2163,N*2c,14,12,10,252
fixed,1,1,stop,4,1,selfplay-88,252845706,2558777,732306,15,cp 4477,2h2g,16,15,15,252
fixed,1,1,stop,4,8,complex-middle,252757180,2471333,907566,8,cp -192,B*6h,65,13,7,252
fixed,1,1,stop,4,8,movegen-heavy,252496930,2214810,975667,9,cp -2030,N*1g,73,12,12,252
fixed,1,1,stop,4,8,selfplay-88,252724619,2441978,782899,11,cp 2974,2h2g,89,18,11,252
fixed,1,2,stop,4,1,complex-middle,253728028,3446028,883379,10,cp -558,8d7d,11,23,16,253
fixed,1,2,stop,4,1,movegen-heavy,252663755,2378659,836421,13,cp -2264,N*2c,14,15,15,252
fixed,1,2,stop,4,1,selfplay-88,252865794,2578715,723808,14,cp 4228,2h2g,15,18,18,252
fixed,1,2,stop,4,8,complex-middle,252691156,2408355,929114,9,cp -610,8d7d,73,17,9,252
fixed,1,2,stop,4,8,movegen-heavy,253255088,2964582,963546,9,cp -2286,N*2c,73,14,11,253
fixed,1,2,stop,4,8,selfplay-88,252996862,2709712,803101,10,cp 3211,2h2g,81,14,10,252
baseline,1,3,stop,4,1,complex-middle,253026086,2767150,839947,13,cp -804,B*6h,13,21,14,252
baseline,1,3,stop,4,1,movegen-heavy,252384409,2102509,869450,13,cp -2112,G*3c,14,18,10,252
baseline,1,3,stop,4,1,selfplay-88,253041145,2778922,756877,14,cp 4496,2h2g,15,15,14,252
baseline,1,3,stop,4,8,complex-middle,250816526,529297,1029996,8,cp 78,8d7d,65,14,8,250
baseline,1,3,stop,4,8,movegen-heavy,253261239,2991652,964201,9,cp -1562,G*3c,73,16,11,253
baseline,1,3,stop,4,8,selfplay-88,252696757,2425858,785344,10,cp 3452,2h2g,81,15,12,252
baseline,2,0,stop,4,1,complex-middle,253190256,2914247,802412,11,cp -448,B*6h,11,12,12,253
baseline,2,0,stop,4,1,movegen-heavy,252889940,2618861,864168,14,cp -2117,G*3c,15,15,15,252
baseline,2,0,stop,4,1,selfplay-88,253031657,2748184,715759,15,cp 3920,2h2g,16,14,10,252
baseline,2,0,stop,4,8,complex-middle,252481281,2313576,951606,8,cp -260,B*6h,65,8,8,252
baseline,2,0,stop,4,8,movegen-heavy,252525203,2231822,975194,9,cp -1936,N*3a,73,17,14,252
baseline,2,0,stop,4,8,selfplay-88,253176921,2891995,794507,10,cp 3437,2h2g,81,16,11,253
fixed,2,1,stop,4,1,complex-middle,252833073,2548929,841474,10,cp -512,3b3c,12,13,11,252
fixed,2,1,stop,4,1,movegen-heavy,253082613,2802607,902901,14,cp -2353,N*2c,14,19,15,252
fixed,2,1,stop,4,1,selfplay-88,253389500,3103172,728381,15,cp 3910,2h2g,16,13,13,253
fixed,2,1,stop,4,8,complex-middle,253096409,2809680,965433,8,cp -113,B*6h,65,9,9,253
fixed,2,1,stop,4,8,movegen-heavy,251927398,1655136,952290,10,cp -2295,N*2c,81,15,8,251
fixed,2,1,stop,4,8,selfplay-88,253446559,3158407,798693,10,cp 3060,2h2g,81,21,10,253
fixed,2,2,stop,4,1,complex-middle,253167282,2881886,879804,12,cp -35,B*6h,13,13,11,253
fixed,2,2,stop,4,1,movegen-heavy,252734278,2453760,842767,12,cp -2104,G*3c,15,14,12,252
fixed,2,2,stop,4,1,selfplay-88,253212007,2927662,723445,14,cp 4736,2h2g,15,12,11,253
fixed,2,2,stop,4,8,complex-middle,252781887,2498574,891645,8,cp -227,B*6h,65,8,5,252
fixed,2,2,stop,4,8,movegen-heavy,253254457,2973238,953542,9,cp -1874,N*2c,73,17,8,253
