variant,block,order,mode,threads,position,multipv,ns,nodes,depth,score,bestmove,callbacks,emitted_moves
baseline,3,0,time,1,2,4,200116719,200958,10,534,8h2b+,41,239
fixed,3,1,time,1,0,1,200093234,263168,13,0,5i5h,14,74
fixed,3,1,time,1,0,4,200082083,250370,10,7,5i5h,41,182
fixed,3,1,time,1,1,1,200098675,212863,12,0,2e2d,13,86
fixed,3,1,time,1,1,4,200143940,216545,11,23,2e2d,45,237
fixed,3,1,time,1,2,1,200146586,196752,14,790,8h2b+,15,124
fixed,3,1,time,1,2,4,200146445,194737,10,534,8h2b+,41,231
fixed,3,2,time,1,0,1,200069050,261745,13,0,5i5h,14,74
fixed,3,2,time,1,0,4,200103635,254518,10,7,5i5h,41,182
fixed,3,2,time,1,1,1,200040547,216499,12,0,2e2d,13,86
fixed,3,2,time,1,1,4,200018507,216051,11,23,2e2d,45,237
fixed,3,2,time,1,2,1,200068831,198714,14,790,8h2b+,15,124
fixed,3,2,time,1,2,4,200186753,200958,10,534,8h2b+,41,231
baseline,3,3,time,1,0,1,200137561,261745,13,0,5i5h,14,75
baseline,3,3,time,1,0,4,200053313,252337,10,7,5i5h,41,183
baseline,3,3,time,1,1,1,200088139,213108,12,0,2e2d,13,86
baseline,3,3,time,1,1,4,200063664,216545,11,23,2e2d,45,242
baseline,3,3,time,1,2,1,200116473,196212,14,790,8h2b+,15,125
baseline,3,3,time,1,2,4,200077650,198354,10,534,8h2b+,41,239
baseline,4,0,time,1,0,1,200132995,257906,13,0,5i5h,14,75
baseline,4,0,time,1,0,4,200088100,248651,10,7,5i5h,41,183
baseline,4,0,time,1,1,1,200152121,198350,12,0,2e2d,13,86
baseline,4,0,time,1,1,4,200131092,217503,11,23,2e2d,45,242
baseline,4,0,time,1,2,1,200232963,196752,14,790,8h2b+,15,125
baseline,4,0,time,1,2,4,200085598,199114,10,534,8h2b+,41,239
fixed,4,1,time,1,0,1,200101677,263168,13,0,5i5h,14,74
fixed,4,1,time,1,0,4,200063536,253773,10,7,5i5h,41,182
fixed,4,1,time,1,1,1,200034381,214667,12,0,2e2d,13,86
fixed,4,1,time,1,1,4,200044852,219761,11,23,2e2d,45,237
fixed,4,1,time,1,2,1,200040524,199398,14,790,8h2b+,15,124
fixed,4,1,time,1,2,4,200209102,202995,10,534,8h2b+,41,231
fixed,4,2,time,1,0,1,200035214,261026,13,0,5i5h,14,74
fixed,4,2,time,1,0,4,200102431,252815,10,7,5i5h,41,182
fixed,4,2,time,1,1,1,200109765,217308,12,0,2e2d,13,86
fixed,4,2,time,1,1,4,200019266,213080,11,23,2e2d,45,237
fixed,4,2,time,1,2,1,200256782,195960,14,790,8h2b+,15,124
fixed,4,2,time,1,2,4,200229060,190096,10,534,8h2b+,41,231
baseline,4,3,time,1,0,1,200075923,257667,13,0,5i5h,14,75
baseline,4,3,time,1,0,4,200022763,252337,10,7,5i5h,41,183
baseline,4,3,time,1,1,1,200221458,214176,12,0,2e2d,13,86
baseline,4,3,time,1,1,4,200072998,217748,11,23,2e2d,45,242
baseline,4,3,time,1,2,1,200149372,199655,14,790,8h2b+,15,125
baseline,4,3,time,1,2,4,200154452,202511,10,534,8h2b+,41,239
baseline,5,0,time,1,0,1,200156847,263168,13,0,5i5h,14,75
baseline,5,0,time,1,0,4,200089501,252337,10,7,5i5h,41,183
baseline,5,0,time,1,1,1,200107175,215707,12,0,2e2d,13,86
baseline,5,0,time,1,1,4,200111192,218742,11,23,2e2d,45,242
baseline,5,0,time,1,2,1,200041180,194398,14,790,8h2b+,15,125
baseline,5,0,time,1,2,4,200141550,201738,10,534,8h2b+,41,239
fixed,5,1,time,1,0,1,200037114,261498,13,0,5i5h,14,74
fixed,5,1,time,1,0,4,200053786,250370,10,7,5i5h,41,182
fixed,5,1,time,1,1,1,200189671,201281,12,0,2e2d,13,86
fixed,5,1,time,1,1,4,200192276,221130,11,23,2e2d,45,237
fixed,5,1,time,1,2,1,200219749,199655,14,790,8h2b+,15,124
fixed,5,1,time,1,2,4,200074786,202743,10,534,8h2b+,41,231
fixed,5,2,time,1,0,1,200021627,263637,13,0,5i5h,14,74
fixed,5,2,time,1,0,4,200042085,257392,10,7,5i5h,41,182
fixed,5,2,time,1,1,1,200126214,217028,12,0,2e2d,13,86
fixed,5,2,time,1,1,4,200042568,216747,11,23,2e2d,45,237
fixed,5,2,time,1,2,1,200106908,198241,14,790,8h2b+,15,124
fixed,5,2,time,1,2,4,200070850,201476,10,534,8h2b+,41,231
baseline,5,3,time,1,0,1,200110776,264273,13,0,5i5h,14,75
baseline,5,3,time,1,0,4,200024204,256906,10,7,5i5h,41,183
baseline,5,3,time,1,1,1,200101128,215959,12,0,2e2d,13,86
baseline,5,3,time,1,1,4,200088526,218742,11,23,2e2d,45,242
baseline,5,3,time,1,2,1,200080470,196212,14,790,8h2b+,15,125
baseline,5,3,time,1,2,4,200157765,188879,10,534,8h2b+,41,239
baseline,6,0,time,1,0,1,200030628,261026,13,0,5i5h,14,75
baseline,6,0,time,1,0,4,200067688,254766,10,7,5i5h,41,183
baseline,6,0,time,1,1,1,200121038,213890,12,0,2e2d,13,86
baseline,6,0,time,1,1,4,200022472,215820,11,23,2e2d,45,242
baseline,6,0,time,1,2,1,200263275,196212,14,790,8h2b+,15,125
baseline,6,0,time,1,2,4,200184929,200458,10,534,8h2b+,41,239
fixed,6,1,time,1,0,1,200148611,261498,13,0,5i5h,14,74
fixed,6,1,time,1,0,4,200077497,250370,10,7,5i5h,41,182
fixed,6,1,time,1,1,1,200218532,216758,12,0,2e2d,13,86
fixed,6,1,time,1,1,4,200036581,217118,11,23,2e2d,45,237
fixed,6,1,time,1,2,1,200053112,198004,14,790,8h2b+,15,124
fixed,6,1,time,1,2,4,200082708,201209,10,534,8h2b+,41,231
fixed,6,2,time,1,0,1,200075285,263168,13,0,5i5h,14,74
fixed,6,2,time,1,0,4,200021253,255009,10,7,5i5h,41,182
fixed,6,2,time,1,1,1,200132323,198881,12,0,2e2d,13,86
fixed,6,2,time,1,1,4,200096425,206906,11,23,2e2d,45,237
fixed,6,2,time,1,2,1,200141340,197736,14,790,8h2b+,15,124
fixed,6,2,time,1,2,4,200088361,205151,10,534,8h2b+,41,231
baseline,6,3,time,1,0,1,200035691,264496,13,0,5i5h,14,75
baseline,6,3,time,1,0,4,200117577,254518,10,7,5i5h,41,183
baseline,6,3,time,1,1,1,200144647,214176,12,0,2e2d,13,86
baseline,6,3,time,1,1,4,200083272,214613,11,23,2e2d,45,242
baseline,6,3,time,1,2,1,200087901,199152,14,790,8h2b+,15,125
baseline,6,3,time,1,2,4,200104562,199637,10,534,8h2b+,41,239
baseline,7,0,time,1,0,1,200030435,262212,13,0,5i5h,14,75
baseline,7,0,time,1,0,4,200087903,253534,10,7,5i5h,41,183
baseline,7,0,time,1,1,1,200190786,214667,12,0,2e2d,13,86
baseline,7,0,time,1,1,4,200163284,217992,11,23,2e2d,45,242
baseline,7,0,time,1,2,1,200052516,200393,14,790,8h2b+,15,125
baseline,7,0,time,1,2,4,200038591,197779,10,534,8h2b+,41,239
fixed,7,1,time,1,0,1,200139291,258882,13,0,5i5h,14,74
fixed,7,1,time,1,0,4,200210905,242441,10,7,5i5h,41,182
fixed,7,1,time,1,1,1,200044512,208691,12,0,2e2d,13,86
fixed,7,1,time,1,1,4,200178155,220601,11,23,2e2d,45,237
fixed,7,1,time,1,2,1,200134453,201587,14,790,8h2b+,15,124
fixed,7,1,time,1,2,4,200142699,204047,10,534,8h2b+,41,231
fixed,7,2,time,1,0,1,200124414,263168,13,0,5i5h,14,74
fixed,7,2,time,1,0,4,200040726,257643,10,7,5i5h,41,182
fixed,7,2,time,1,1,1,200174800,218087,12,0,2e2d,13,86
fixed,7,2,time,1,1,4,200055075,218993,11,23,2e2d,45,237
fixed,7,2,time,1,2,1,200142049,198481,14,790,8h2b+,15,124
fixed,7,2,time,1,2,4,200037522,204047,10,534,8h2b+,41,231
baseline,7,3,time,1,0,1,200096814,261498,13,0,5i5h,14,75
baseline,7,3,time,1,0,4,200100362,254518,10,7,5i5h,41,183
baseline,7,3,time,1,1,1,200072239,212122,12,0,2e2d,13,86
baseline,7,3,time,1,1,4,200028847,212835,11,23,2e2d,45,242
baseline,7,3,time,1,2,1,200085424,200393,14,790,8h2b+,15,125
baseline,7,3,time,1,2,4,200044527,198055,10,534,8h2b+,41,239
baseline,0,0,time,2,0,1,200251688,474944,15,49,1g1f,16,115
baseline,0,0,time,2,0,4,200145198,475252,12,8,5i6h,49,260
baseline,0,0,time,2,1,1,200111875,419818,15,0,1g1f,16,125
baseline,0,0,time,2,1,4,200132413,422460,11,0,6i7h,45,258
baseline,0,0,time,2,2,1,200131503,385076,15,1252,8h2b+,15,118
baseline,0,0,time,2,2,4,200138537,394416,9,870,8h2b+,37,176
fixed,0,1,time,2,0,1,200282126,477954,14,11,3g3f,15,104
fixed,0,1,time,2,0,4,200325449,485796,9,0,9g9f,37,160
fixed,0,1,time,2,1,1,200289381,426252,14,0,8h2b+,16,102
fixed,0,1,time,2,1,4,200166551,418321,11,1,7f7e,45,233
fixed,0,1,time,2,2,1,200184645,382901,15,1016,8h2b+,14,104
fixed,0,1,time,2,2,4,200203451,395093,9,616,8h2b+,37,180
fixed,0,2,time,2,0,1,200324549,466441,14,2,1g1f,15,108
fixed,0,2,time,2,0,4,200134812,488869,12,4,2h3h,49,273
fixed,0,2,time,2,1,1,200127358,435003,16,-4,8h2b+,17,119
fixed,0,2,time,2,1,4,200305364,420428,11,6,6i7h,45,246
fixed,0,2,time,2,2,1,200353165,382649,15,1042,8h2b+,15,129
fixed,0,2,time,2,2,4,200303781,386951,11,734,8h2b+,45,292
baseline,0,3,time,2,0,1,200075893,471526,16,3,1g1f,15,108
baseline,0,3,time,2,0,4,200181041,482917,13,4,5i5h,53,323
baseline,0,3,time,2,1,1,200319883,413235,13,5,6i7h,15,110
baseline,0,3,time,2,1,4,200073721,423745,11,8,6i7h,45,243
baseline,0,3,time,2,2,1,200156937,350442,15,1144,8h2b+,16,118
baseline,0,3,time,2,2,4,200217061,395724,9,827,8h2b+,37,205
baseline,1,0,time,2,0,1,200076698,480446,14,1,2h7h,15,95
baseline,1,0,time,2,0,4,200087167,480463,9,1,9g9f,37,156
baseline,1,0,time,2,1,1,200299055,425761,13,7,6i7h,15,92
baseline,1,0,time,2,1,4,200266305,419946,11,0,2e2d,45,242
baseline,1,0,time,2,2,1,200246408,384638,14,1128,8h2b+,15,125
baseline,1,0,time,2,2,4,200087780,389977,9,760,8h2b+,37,183
fixed,1,1,time,2,0,1,200222493,460550,13,27,9g9f,14,70
fixed,1,1,time,2,0,4,200193680,490890,10,9,5i4h,41,173
fixed,1,1,time,2,1,1,200125261,422086,14,16,2e2d,15,118
fixed,1,1,time,2,1,4,200251288,418355,10,0,4g4f,41,206
fixed,1,1,time,2,2,1,200094103,368445,15,1179,8h2b+,16,129
fixed,1,1,time,2,2,4,200146202,393986,10,595,8h2b+,41,232
fixed,1,2,time,2,0,1,200227515,473027,14,17,5g5f,15,71
fixed,1,2,time,2,0,4,200115655,473839,13,3,2g2f,53,290
fixed,1,2,time,2,1,1,200107810,413761,14,6,8h2b+,15,108
fixed,1,2,time,2,1,4,200237405,415169,10,6,7f7e,41,211
fixed,1,2,time,2,2,1,200276018,398789,13,1037,8h2b+,14,105
fixed,1,2,time,2,2,4,200123020,393016,10,771,8h2b+,41,217
baseline,1,3,time,2,0,1,200055814,461741,14,0,9g9f,15,96
baseline,1,3,time,2,0,4,200146596,472364,12,8,5i6h,49,255
baseline,1,3,time,2,1,1,200202602,413058,14,0,2e2d,15,92
baseline,1,3,time,2,1,4,200177685,421242,11,4,2e2d,45,255
baseline,1,3,time,2,2,1,200316285,381044,14,900,8h2b+,15,116
baseline,1,3,time,2,2,4,200230926,382752,10,915,8h2b+,41,226
baseline,2,0,time,2,0,1,200054805,458469,15,0,1g1f,16,115
baseline,2,0,time,2,0,4,200305065,487260,11,16,1g1f,45,225
baseline,2,0,time,2,1,1,200220016,422329,15,0,1g1f,16,116
baseline,2,0,time,2,1,4,200262256,418044,12,1,7f7e,49,277
baseline,2,0,time,2,2,1,200182997,374345,14,1142,8h2b+,15,118
baseline,2,0,time,2,2,4,200258600,395198,10,984,8h2b+,41,225
fixed,2,1,time,2,0,1,200171716,467016,13,4,4g4f,14,81
fixed,2,1,time,2,0,4,200230057,473621,11,2,2h5h,45,214
fixed,2,1,time,2,1,1,200130259,415717,14,9,1g1f,15,102
fixed,2,1,time,2,1,4,200350393,421488,12,1,1g1f,49,298
fixed,2,1,time,2,2,1,200304528,392439,14,981,8h2b+,15,123
fixed,2,1,time,2,2,4,200225160,382380,9,630,8h2b+,37,186
fixed,2,2,time,2,0,1,200190063,460107,14,8,9g9f,15,86
fixed,2,2,time,2,0,4,200210272,469096,11,5,9g9f,45,214
fixed,2,2,time,2,1,1,200153756,425413,14,0,8h2b+,15,101
fixed,2,2,time,2,1,4,200244788,424177,11,7,2e2d,45,237
fixed,2,2,time,2,2,1,200329246,390506,15,1056,8h2b+,15,122
fixed,2,2,time,2,2,4,200073405,390721,10,852,8h2b+,41,220
baseline,2,3,time,2,0,1,200174556,477644,14,37,5g5f,15,99
baseline,2,3,time,2,0,4,200129051,478745,11,1,3g3f,45,230
baseline,2,3,time,2,1,1,200196458,421965,14,0,8h2b+,15,104
baseline,2,3,time,2,1,4,200193172,423794,11,3,2e2d,45,241
baseline,2,3,time,2,2,1,200302819,370407,15,1103,8h2b+,16,131
baseline,2,3,time,2,2,4,200188264,387498,10,692,8h2b+,41,231
baseline,3,0,time,2,0,1,200202240,451077,14,3,2h1h,15,103
baseline,3,0,time,2,0,4,200292821,489313,11,8,5i6h,45,209
baseline,3,0,time,2,1,1,200092755,415788,13,21,2e2d,14,90
baseline,3,0,time,2,1,4,200212652,428053,10,45,2e2d,41,215
baseline,3,0,time,2,2,1,200085563,379002,16,1139,8h2b+,17,151
baseline,3,0,time,2,2,4,200228841,386951,10,767,8h2b+,41,241
fixed,3,1,time,2,0,1,200210769,454507,15,31,2g2f,16,98
fixed,3,1,time,2,0,4,200140607,474159,12,6,5i6h,49,244
fixed,3,1,time,2,1,1,200130869,412359,15,0,1g1f,16,123
fixed,3,1,time,2,1,4,200239563,416694,11,1,2e2d,45,245
fixed,3,1,time,2,2,1,200309757,384825,16,1074,8h2b+,15,118
fixed,3,1,time,2,2,4,200286493,385779,10,554,8h2b+,41,219
fixed,3,2,time,2,0,1,200204729,456220,15,0,2g2f,16,104
fixed,3,2,time,2,0,4,200260594,476981,10,-2,9g9f,41,184
fixed,3,2,time,2,1,1,200050571,409642,14,0,9g9f,15,104
fixed,3,2,time,2,1,4,200321059,417746,10,9,7f7e,41,220
fixed,3,2,time,2,2,1,200337581,395478,14,1025,8h2b+,15,118
fixed,3,2,time,2,2,4,200117527,396333,10,732,8h2b+,41,212
baseline,3,3,time,2,0,1,200168825,467050,14,0,1g1f,15,91
baseline,3,3,time,2,0,4,200237934,465338,10,9,9g9f,41,199
baseline,3,3,time,2,1,1,200223387,419896,14,1,1g1f,15,99
baseline,3,3,time,2,1,4,200081190,432512,11,7,2e2d,45,245
baseline,3,3,time,2,2,1,200299151,382510,13,1109,8h2b+,15,122
baseline,3,3,time,2,2,4,200173815,391126,11,596,8h2b+,45,282
baseline,4,0,time,2,0,1,200225172,431617,14,26,2h4h,15,89
baseline,4,0,time,2,0,4,200208922,478876,12,0,9g9f,49,272
baseline,4,0,time,2,1,1,200175279,414790,13,0,6i6h,14,70
baseline,4,0,time,2,1,4,200079690,416871,12,0,9i9h,49,284
baseline,4,0,time,2,2,1,200348976,381388,14,1161,8h2b+,17,160
baseline,4,0,time,2,2,4,200132771,400581,10,837,8h2b+,41,222
fixed,4,1,time,2,0,1,200204155,456674,14,0,5g5f,15,92
fixed,4,1,time,2,0,4,200094649,463836,10,1,2h1h,41,190
fixed,4,1,time,2,1,1,200323650,410862,14,1,5i6h,15,95
fixed,4,1,time,2,1,4,200142300,416329,11,0,2e2d,45,248
fixed,4,1,time,2,2,1,200300778,364749,14,1182,8h2b+,16,127
fixed,4,1,time,2,2,4,200145907,394449,10,589,8h2b+,41,255
fixed,4,2,time,2,0,1,200217431,481844,14,23,1g1f,15,97
fixed,4,2,time,2,0,4,200110291,468817,11,3,2g2f,45,225
fixed,4,2,time,2,1,1,200302292,420547,14,4,7f7e,15,82
fixed,4,2,time,2,1,4,200146149,414547,11,12,2e2d,45,243
fixed,4,2,time,2,2,1,200243802,375771,16,1125,8h2b+,17,176
fixed,4,2,time,2,2,4,200169855,391434,11,903,8h2b+,45,282
baseline,4,3,time,2,0,1,200295832,480788,14,36,1g1f,15,94
baseline,4,3,time,2,0,4,200293718,470908,11,38,1g1f,45,239
baseline,4,3,time,2,1,1,200196975,414798,14,6,7f7e,15,92
baseline,4,3,time,2,1,4,200192769,402592,10,13,2e2d,41,208
baseline,4,3,time,2,2,1,200134740,379652,14,1277,8h2b+,16,127
baseline,4,3,time,2,2,4,200218607,397943,10,915,8h2b+,41,239
baseline,5,0,time,2,0,1,200159436,465908,15,0,1g1f,16,104
baseline,5,0,time,2,0,4,200092912,458218,10,8,1g1f,41,196
baseline,5,0,time,2,1,1,200301915,419220,14,26,6i7h,15,102
baseline,5,0,time,2,1,4,200257412,434700,11,0,6i7h,45,242
baseline,5,0,time,2,2,1,200041456,365623,15,1158,8h2b+,15,137
baseline,5,0,time,2,2,4,200261120,389484,10,535,8h2b+,41,225
fixed,5,1,time,2,0,1,200158046,456261,14,0,3i4h,15,106
fixed,5,1,time,2,0,4,200114014,479081,13,2,6i6h,53,293
fixed,5,1,time,2,1,1,200103405,439769,15,6,6i7h,16,101
fixed,5,1,time,2,1,4,200226927,419785,11,62,2e2d,45,221
fixed,5,1,time,2,2,1,200208222,380179,13,1125,8h2b+,14,101
fixed,5,1,time,2,2,4,200273235,402360,10,663,8h2b+,41,236
fixed,5,2,time,2,0,1,200207841,460464,16,2,1g1f,17,108
fixed,5,2,time,2,0,4,200057911,479597,11,21,2h3h,45,220
fixed,5,2,time,2,1,1,200218373,416886,14,0,2e2d,15,93
fixed,5,2,time,2,1,4,200184129,422770,11,4,6i7h,45,243
fixed,5,2,time,2,2,1,200318412,382134,15,1114,8h2b+,15,125
fixed,5,2,time,2,2,4,200274209,389993,10,792,8h2b+,41,226
baseline,5,3,time,2,0,1,200177507,471366,14,12,4i5h,16,121
baseline,5,3,time,2,0,4,200077489,483489,9,0,1g1f,37,174
baseline,5,3,time,2,1,1,200110241,415572,14,0,7f7e,15,104
baseline,5,3,time,2,1,4,200266697,424901,11,4,1g1f,45,263
baseline,5,3,time,2,2,1,200123728,368947,14,1243,8h2b+,15,129
baseline,5,3,time,2,2,4,200301992,379636,10,562,8h2b+,41,229
baseline,6,0,time,2,0,1,200222984,462990,13,-27,5i6h,14,89
baseline,6,0,time,2,0,4,200278209,477115,11,4,4i4h,45,231
baseline,6,0,time,2,1,1,200212485,414620,15,19,6i7h,16,105
baseline,6,0,time,2,1,4,200168924,418606,11,5,8h2b+,45,240
baseline,6,0,time,2,2,1,200296134,375246,16,877,8h2b+,16,164
baseline,6,0,time,2,2,4,200259586,401763,9,853,8h2b+,37,191
fixed,6,1,time,2,0,1,200031687,501079,13,45,2g2f,14,81
fixed,6,1,time,2,0,4,200127798,475995,11,3,2h7h,45,215
fixed,6,1,time,2,1,1,200413526,420440,12,42,2e2d,13,72
fixed,6,1,time,2,1,4,200239830,420980,12,0,7f7e,49,268
fixed,6,1,time,2,2,1,200121347,379213,16,1125,8h2b+,15,128
fixed,6,1,time,2,2,4,200253144,405315,9,583,8h2b+,37,182
fixed,6,2,time,2,0,1,200282201,467496,14,77,5g5f,15,80
fixed,6,2,time,2,0,4,200257434,479196,12,16,6i6h,49,247
fixed,6,2,time,2,1,1,200302218,400897,15,-7,8h2b+,16,107
fixed,6,2,time,2,1,4,200244159,415942,11,5,2e2d,45,253
fixed,6,2,time,2,2,1,200279908,378804,15,1129,8h2b+,16,133
fixed,6,2,time,2,2,4,200274558,400303,9,575,8h2b+,37,175
baseline,6,3,time,2,0,1,200037742,456174,16,0,1g1f,15,108
baseline,6,3,time,2,0,4,200195570,473728,11,4,5g5f,45,223
baseline,6,3,time,2,1,1,200274168,414624,14,0,6i6h,15,95
baseline,6,3,time,2,1,4,200208074,416256,11,12,2e2d,45,252
baseline,6,3,time,2,2,1,200233512,384590,15,926,8h2b+,16,131
baseline,6,3,time,2,2,4,200167648,395717,9,720,8h2b+,37,174
baseline,7,0,time,2,0,1,200211181,470660,15,0,4i5h,16,101
baseline,7,0,time,2,0,4,200222883,460925,11,3,9g9f,45,224
baseline,7,0,time,2,1,1,200264071,416735,14,0,1g1f,15,106
baseline,7,0,time,2,1,4,200274861,421203,10,14,6i6h,41,193
baseline,7,0,time,2,2,1,200299349,381986,14,1071,8h2b+,16,141
baseline,7,0,time,2,2,4,200251218,387848,10,858,8h2b+,41,232
fixed,7,1,time,2,0,1,200146481,466456,13,47,5g5f,14,74
fixed,7,1,time,2,0,4,200193009,487089,11,2,9g9f,45,218
fixed,7,1,time,2,1,1,200138878,419260,14,0,1i1h,16,105
fixed,7,1,time,2,1,4,200132877,420359,10,3,9g9f,41,208
fixed,7,1,time,2,2,1,200198290,378608,13,1143,8h2b+,13,82
fixed,7,1,time,2,2,4,200223868,392966,10,720,8h2b+,41,219
fixed,7,2,time,2,0,1,200220072,466042,14,2,6g6f,15,83
fixed,7,2,time,2,0,4,200327353,474236,12,0,2h5h,49,265
fixed,7,2,time,2,1,1,200214632,422205,13,0,3i3h,14,76
fixed,7,2,time,2,1,4,200269946,415091,11,6,2e2d,45,268
fixed,7,2,time,2,2,1,200254328,392758,15,1300,8h2b+,16,145
fixed,7,2,time,2,2,4,200305975,392801,9,420,8h2b+,37,192
baseline,7,3,time,2,0,1,200169949,452507,13,3,9g9f,14,73
baseline,7,3,time,2,0,4,200225304,475610,11,8,9g9f,45,236
baseline,7,3,time,2,1,1,200235784,418582,15,-3,2e2d,16,117
baseline,7,3,time,2,1,4,200180540,429587,10,15,2e2d,41,218
baseline,7,3,time,2,2,1,200136978,380327,14,1044,8h2b+,14,105
baseline,7,3,time,2,2,4,200097815,394669,10,704,8h2b+,41,234
